Lib1	SRR6750188	SRR6862464
Lib2	SRR6750189	SRR6862463
Lib3	SRR6750190	SRR6862462
Lib4	SRR6750191	SRR6862461
Lib5	SRR6750184	SRR6862468
Lib6	SRR6750185	SRR6862467
Lib7	SRR6750186	SRR6862466
Lib8	SRR6750187	SRR6862465
Lib9	SRR6750192	SRR6862470
Lib11	SRR6750193	SRR6862469
Lib13	SRR6750158	SRR6862415
Lib14	SRR6750159	SRR6862414
Lib15	SRR6750160	SRR6862417
Lib16	SRR6750161	SRR6862416
Lib17	SRR6750162	SRR6862419
Lib18	SRR6750163	SRR6862418
Lib19	SRR6750164	SRR6862421
Lib20	SRR6750165	SRR6862420
Lib22	SRR6750166	SRR6862423
Lib23	SRR6750167	SRR6862422
Lib24	SRR6750202	SRR6862505
Lib25	SRR6750201	SRR6862506
Lib26	SRR6750204	SRR6862507
Lib27	SRR6750203	SRR6862508
Lib28	SRR6750198	SRR6862501
Lib29	SRR6750197	SRR6862502
Lib31	SRR6750200	SRR6862503
Lib32	SRR6750199	SRR6862504
Lib33	SRR6750196	SRR6862509
Lib34	SRR6750195	SRR6862510
Lib35	SRR6750106	SRR6862486
Lib36	SRR6750107	SRR6862485
Lib37	SRR6750104	SRR6862484
Lib38	SRR6750105	SRR6862483
Lib39	SRR6750102	SRR6862490
Lib40	SRR6750103	SRR6862489
Lib41	SRR6750100	SRR6862488
Lib42	SRR6750101	SRR6862487
Lib43	SRR6750098	SRR6862482
Lib44	SRR6750099	SRR6862481
Lib45	SRR6750113	SRR6862479
Lib46	SRR6750112	SRR6862480
Lib47	SRR6750111	SRR6862477
Lib48	SRR6750110	SRR6862478
Lib49	SRR6750117	SRR6862475
Lib50	SRR6750116	SRR6862476
Lib51	SRR6750115	SRR6862473
Lib52	SRR6750114	SRR6862474
Lib53	SRR6750109	SRR6862471
Lib54	SRR6750108	SRR6862472
Lib55	SRR6750122	SRR6862458
Lib56	SRR6750123	SRR6862457
Lib57	SRR6750124	SRR6862460
Lib58	SRR6750125	SRR6862459
Lib59	SRR6750118	SRR6862454
Lib60	SRR6750119	SRR6862453
Lib61	SRR6750120	SRR6862456
Lib62	SRR6750121	SRR6862455
Lib63	SRR6750126	SRR6862452
Lib64	SRR6750127	SRR6862451
Lib65	SRR6750129	SRR6862434
Lib66	SRR6750128	SRR6862435
Lib67	SRR6750131	SRR6862436
Lib68	SRR6750130	SRR6862437
Lib69	SRR6750133	SRR6862438
Lib71	SRR6750132	SRR6862439
Lib72	SRR6750135	SRR6862440
Lib73	SRR6750134	SRR6862441
Lib74	SRR6750137	SRR6862442
Lib75	SRR6750136	SRR6862443
Lib76	SRR6750150	SRR6862431
Lib77	SRR6750151	SRR6862430
Lib78	SRR6750148	SRR6862429
Lib79	SRR6750149	SRR6862428
Lib80	SRR6750154	SRR6862427
Lib81	SRR6750155	SRR6862426
Lib82	SRR6750152	SRR6862425
Lib83	SRR6750153	SRR6862424
Lib84	SRR6750156	SRR6862433
Lib85	SRR6750157	SRR6862432
Lib86	SRR6750147	SRR6862408
Lib88	SRR6750146	SRR6862409
Lib89	SRR6750145	SRR6862406
Lib91	SRR6750144	SRR6862407
Lib92	SRR6750143	SRR6862412
Lib94	SRR6750142	SRR6862413
Lib96	SRR6750141	SRR6862410
Lib98	SRR6750140	SRR6862411
Lib99	SRR6750139	SRR6862404
Lib100	SRR6750138	SRR6862405
Lib101	SRR6750176	SRR6862445
Lib102	SRR6750177	SRR6862444
Lib103	SRR6750178	SRR6862447
Lib105	SRR6750179	SRR6862446
Lib106	SRR6750180	SRR6862449
Lib108	SRR6750181	SRR6862448
Lib109	SRR6750182	SRR6862500
Lib110	SRR6750183	SRR6862450
Lib111	SRR6750168	SRR6862492
Lib112	SRR6750194	SRR6862491
Lib113	SRR6750175	SRR6862493
Lib114	SRR6750174	SRR6862494
Lib115	SRR6750173	SRR6862495
Lib116	SRR6750172	SRR6862496
Lib117	SRR6750171	SRR6862497
Lib118	SRR6750170	SRR6862498
Lib119	SRR6750169	SRR6862499
