Library	mito_coverage	plastid_coverage	organelle_mapping
M1_1_F7	461672793	2000542427	19.74%
M1_2_F8	402939361	2811106480	25.42%
M1_3_F8	507996248	2504752588	27.58%
M1_4_F8	760411213	2322266886	25.33%
M1_5_F7	362017249	1226186647	11.84%
M1_6_F8	523740443	3026187925	22.78%
M1_7_F8	435451718	2891391274	25.25%
M1_8_F8	264161000	1892588450	21.12%
M2_1_F8	266524808	3666420501	34.32%
M2_2_F8	458892688	2101572335	19.10%
M2_3_F8	285963858	2717919055	20.24%
M2_4_F8	1484708539	7685688208	26.73%
M2_5_F8	370234176	2580583746	19.90%
M2_6_F8	300596813	1416045640	17.01%
M2_7_F8	377558852	2280001621	22.67%
M2_8_F8	376458818	2664984124	23.42%
M3_1_F8	450889789	2314686208	19.50%
M3_2_F8	362048427	1759165825	16.84%
M3_3_F7	302111831	2304975138	23.02%
M3_4_F8	488652321	2074195810	19.41%
M3_5_F8	535212587	2499510564	26.36%
M3_6_F8	465114186	2032794794	18.05%
M3_7_F7	139015708	937610922	9.98%
M3_8_F8	309040139	1441772462	16.13%
W1_1_F8	194873618	1544980347	17.28%
W1_2_F8	289868376	1675365851	16.09%
W1_3_F8	252381137	1455626261	14.02%
W1_4_F8	228124560	1506734904	19.49%
W1_5_F8	277326715	1748707081	18.72%
W1_6_F8	333056042	1486418061	12.99%
W1_7_F8	285728234	2309504939	19.74%
W2_1_F8	257337879	1591227086	16.91%
W2_2_F8	323805367	2526972651	21.82%
W2_3_F8	278594099	1713232135	16.52%
W2_4_F8	162357294	927221007	15.34%
W2_5_F8	269314904	1917504838	19.93%
W2_6_F8	281097582	2013492148	18.80%
W2_7_F8	304705625	1689367077	16.73%
W3_1_F8	317371117	1675397063	17.48%
W3_2_F8	302808303	1180918153	12.19%
W3_3_F8	247485893	1175296774	13.99%
W3_4_F8	304600825	1616773644	14.95%
W3_5_F8	1029236939	4077948122	13.98%
W3_6_F8	297033355	582875731	12.03%
W3_7_F8	251045122	1330738642	13.40%
